config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0291,with_chaos,identity,pca,3.0,agglomerative,5,5,0.6014626160653467,0.5949952585801546,455.58656413602836,1,377,0.9019138755980861,1,3,418,25,3,0,0.9996608279675913,,,,0.09989282384874626,
cfg_0292,with_chaos,identity,pca,3.0,agglomerative,6,6,0.4303570991286967,0.6350423059456812,511.3733483122923,1,253,0.6052631578947368,1,3,418,25,3,0,0.9996608279675913,,,,0.1423112770313492,
cfg_0293,with_chaos,identity,pca,3.0,agglomerative,7,7,0.4326603088481206,0.5700494566476445,603.657136074172,1,253,0.6052631578947368,1,4,418,25,3,0,0.9996608279675913,,,,0.18992659275612342,
cfg_0294,with_chaos,identity,pca,3.0,agglomerative,8,8,0.43752749294941645,0.5706104621364574,644.955029905097,1,253,0.6052631578947368,1,5,418,25,3,0,0.9996608279675913,,,,0.20670354085610604,
cfg_0295,with_chaos,identity,pca,4.0,gmm,2,2,0.7157801466339454,1.2611185062084922,160.8847764081307,42,376,0.8995215311004785,0,0,418,25,4,0,0.9998206637628688,0.98690808679366,0.5656529553982026,0.043042269793143385,0.202491625793925,
cfg_0296,with_chaos,identity,pca,4.0,gmm,3,3,0.15711178626297562,1.5720358596852007,129.34484923754835,25,203,0.48564593301435405,0,0,418,25,4,0,0.9998206637628688,0.9574414744379297,0.5079470268928092,0.1140992112809911,-0.20901481121857626,
cfg_0297,with_chaos,identity,pca,4.0,gmm,4,4,0.15650473274375226,1.3422090234654038,163.74212627380678,2,204,0.4880382775119617,0,1,418,25,4,0,0.9998206637628688,0.9544722727769755,0.5245194531271925,0.12373089979265048,-0.2355400735948182,
cfg_0298,with_chaos,identity,pca,4.0,gmm,5,5,0.15517734961285143,1.0877906152893533,134.21463355238177,1,204,0.4880382775119617,2,2,418,25,4,0,0.9998206637628688,0.9544722727769755,0.5245194531271935,0.12373089982028151,-0.3833710045108124,
cfg_0299,with_chaos,identity,pca,4.0,gmm,6,6,0.13407381178785865,1.1306995127471038,252.48757360032832,1,152,0.36363636363636365,2,3,418,25,4,0,0.9998206637628688,0.8821211536959775,0.36806409838212983,0.25979111851051234,-0.29311821764959944,
cfg_0300,with_chaos,identity,pca,4.0,gmm,7,7,0.13505348952485743,1.0906489294619044,348.8776875865246,2,160,0.3827751196172249,0,3,418,25,4,0,0.9998206637628688,0.8972242029739017,0.4303204182078908,0.26352661722653486,-0.12182888324960686,
cfg_0301,with_chaos,identity,pca,4.0,gmm,8,8,0.12066085059670496,0.8727646302247154,361.71918437212935,1,160,0.3827751196172249,2,4,418,25,4,0,0.9998206637628688,0.9028651256108436,0.4775037910769993,0.2655375414566731,-0.19585102057591494,
cfg_0302,with_chaos,identity,pca,4.0,agglomerative,2,2,0.8980381554544248,0.3271178312492887,434.30278024481777,7,411,0.9832535885167464,0,1,418,25,4,0,0.9998206637628688,,,,0.4706634643392843,
cfg_0303,with_chaos,identity,pca,4.0,agglomerative,3,3,0.9029695597200605,0.44803901121073014,530.7026096855737,2,409,0.9784688995215312,0,2,418,25,4,0,0.9998206637628688,,,,0.46447099701715844,
cfg_0304,with_chaos,identity,pca,4.0,agglomerative,4,4,0.5495629262634691,0.808873230881385,522.8574352928987,2,328,0.784688995215311,0,2,418,25,4,0,0.9998206637628688,,,,0.20438951275494097,
cfg_0305,with_chaos,identity,pca,4.0,agglomerative,5,5,0.561754613193708,0.6944028337496915,537.5833137544078,2,328,0.784688995215311,0,2,418,25,4,0,0.9998206637628688,,,,0.2703004840822701,
cfg_0306,with_chaos,identity,pca,4.0,agglomerative,6,6,0.5640520946044189,0.6067118399479073,580.7180952106306,2,328,0.784688995215311,0,3,418,25,4,0,0.9998206637628688,,,,0.2782777702404907,
cfg_0307,with_chaos,identity,pca,4.0,agglomerative,7,7,0.5629844937066975,0.47661308871921193,604.9248211076546,1,328,0.784688995215311,2,4,418,25,4,0,0.9998206637628688,,,,0.20113123803006355,
cfg_0308,with_chaos,identity,pca,4.0,agglomerative,8,8,0.544005845209095,0.4680122717301549,646.5641544240095,1,328,0.784688995215311,2,5,418,25,4,0,0.9998206637628688,,,,0.20085773197224166,
cfg_0309,with_chaos,identity,pca,5.0,gmm,2,2,0.7155157555965402,1.261396335781759,160.85136314804015,42,376,0.8995215311004785,0,0,418,25,5,0,0.9999705018435364,0.9871256769741157,0.5731670297830767,0.042259692038928875,0.20217094550059167,
cfg_0310,with_chaos,identity,pca,5.0,gmm,3,3,0.2223480351632076,1.3745085269199926,244.67022768044916,11,227,0.5430622009569378,0,1,418,25,5,0,0.9999705018435364,0.9588958740455105,0.511621546544403,0.10393303949720743,-0.18213293367307337,
cfg_0311,with_chaos,identity,pca,5.0,gmm,4,4,0.20972052069224767,1.153092728312607,378.52200603417737,2,220,0.5263157894736842,0,2,418,25,5,0,0.9999705018435364,0.9579056913187737,0.5062686869137005,0.10621871344507029,-0.1325892062652522,
cfg_0312,with_chaos,identity,pca,5.0,gmm,5,5,0.23369169698066672,0.9616096360809525,411.7888930202056,2,231,0.5526315789473685,0,3,418,25,5,0,0.9999705018435364,0.9591518698098597,0.5112180856212413,0.10362822566693905,-0.10735308602799515,
cfg_0313,with_chaos,identity,pca,5.0,gmm,6,6,0.0865920232649874,1.3376369519203888,290.44166033531206,1,148,0.35406698564593303,1,3,418,25,5,0,0.9999705018435364,0.9342314009222942,0.5067876960179034,0.17841407779008464,-0.29319887187465,
cfg_0314,with_chaos,identity,pca,5.0,gmm,7,7,0.12829665909049487,1.2767436256907625,337.11316417366436,2,145,0.34688995215311,0,3,418,25,5,0,0.9999705018435364,0.9174393414312763,0.40599180195465373,0.22438877942026803,-0.14251105510975684,
